source,target,relationship,followers,platform
diman_hulu,indibiz,comment,1585,instagram
rich_martin30,indibiz,comment,1204,instagram
rich_martin30,indibiz,comment,1204,instagram
rich_martin30,indibiz,comment,1204,instagram
rich_martin30,indibiz,comment,1204,instagram
rich_martin30,indibiz,comment,1204,instagram
rich_martin30,indibiz,comment,1204,instagram
rich_martin30,indibiz,comment,1204,instagram
miniehawan,indibiz,comment,1918,instagram
miniehawan,indibiz,comment,1918,instagram
itsmedaisy7_,indibiz,comment,302,instagram
numsya_0206,indibiz,comment,2115,instagram
abdiesabiex,indibiz,comment,682,instagram
faa_ndruru,indibiz,comment,13371,instagram
faa_ndruru,indibiz,comment,13371,instagram
faa_ndruru,indibiz,comment,13371,instagram
faa_ndruru,indibiz,comment,13371,instagram
faa_ndruru,indibiz,comment,13371,instagram
faa_ndruru,indibiz,comment,13371,instagram
faa_ndruru,indibiz,comment,13371,instagram
anggraeeniria,indibiz,comment,3622,instagram
anggraeeniria,indibiz,comment,3622,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
bellaenuy,indibiz,comment,1227,instagram
melindakailaa_,indibiz,comment,1825,instagram
dy_niaa,indibiz,comment,1042,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
attharazka_dwicahya,indibiz,comment,88,instagram
smawadah7,indibiz,comment,1393,instagram
yogaprasdwi,indibiz,comment,169,instagram
yogaprasdwi,indibiz,comment,169,instagram
yogaprasdwi,indibiz,comment,169,instagram
yogaprasdwi,indibiz,comment,169,instagram
yogaprasdwi,indibiz,comment,169,instagram
yogaprasdwi,indibiz,comment,169,instagram
pahrulayung_spr,indibiz,comment,1438,instagram
mama_haikal06,indibiz,comment,14,instagram
pahrulayung_spr,indibiz,comment,1438,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
