rank,username,followers,platform,layanan,degree_centrality,betweenness_centrality,in_degree,out_degree,pagerank,sentiment
234,arifskellington,0,twitter,Telkomsel,0.00044387726793541584,4.074767651546677e-06,13,3,8.973508873203503e-05,negative
235,dramaboxer,0,unknown,Telkomsel,0.0004993619264273429,0.0,18,0,8.953612746128045e-05,neutral
236,songsongwlwl,0,twitter,Telkomsel,0.00016645397547578093,0.0,3,3,8.937698792077747e-05,negative
237,txtdrstrangers,0,twitter,Telkomsel,0.0002774232924596349,0.0,8,2,8.877303542876514e-05,negative
238,pawithmarie,0,twitter,Telkomsel,0.0003051656217055984,2.0373838257733388e-05,6,5,8.87373554899254e-05,negative
239,fiblll,0,unknown,Telkomsel,0.00013871164622981745,0.0,5,0,8.858028930138116e-05,neutral
240,divhumas_polri,0,unknown,Telkomsel,0.0004993619264273429,0.0,18,0,8.848660442262124e-05,neutral
241,yeolhani27,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,8.837226631313309e-05,neutral
242,sullysbae,0,twitter,Telkomsel,8.322698773789047e-05,2.0373838257733388e-05,2,1,8.829085002038222e-05,neutral
243,laliza,0,twitter,Telkomsel,8.322698773789047e-05,2.0373838257733388e-05,2,1,8.829085002038222e-05,negative
244,scaniasupertop,0,twitter,Telkomsel,8.322698773789047e-05,2.0373838257733388e-05,2,1,8.829085002038222e-05,negative
