source,target,relationship,followers,platform,layanan,sentiment
4ermk_s,telkomsite,mention,0,twitter,Telkomsel,negative
4everairdrop,telkomsel,mention,0,twitter,Telkomsel,negative
4everyong22,telkomsel,mention,0,twitter,Telkomsel,negative
4everyoung1090,elonmusk,mention,0,twitter,Telkomsel,neutral
4everyoung1090,pertamina,mention,0,twitter,Telkomsel,neutral
4everyoung1090,pln_123,mention,0,twitter,Telkomsel,neutral
4everyoung1090,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
4everyoung1090,starlink,mention,0,twitter,Telkomsel,neutral
4everyoung1090,telkomindonesia,mention,0,twitter,Telkomsel,neutral
4everyoung1090,telkomsel,mention,0,twitter,Telkomsel,neutral
4fu2r,elonmusk,mention,0,twitter,Telkomsel,neutral
4fu2r,pertamina,mention,0,twitter,Telkomsel,neutral
4fu2r,pln_123,mention,0,twitter,Telkomsel,neutral
4fu2r,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
4fu2r,starlink,mention,0,twitter,Telkomsel,neutral
4fu2r,telkomindonesia,mention,0,twitter,Telkomsel,neutral
4fu2r,telkomsel,mention,0,twitter,Telkomsel,neutral
4k_token,axisgsm,mention,0,twitter,Telkomsel,neutral
4k_token,indihomecare,mention,0,twitter,Telkomsel,neutral
4k_token,lexxynovi,mention,0,twitter,Telkomsel,neutral
