source,target,relationship,followers,platform
indihome,@kfcias,mention,0,twitter
bertabahkayl,@indihome,mention,0,twitter
humaiidi,@agandrn,mention,0,twitter
humaiidi,@txtdarikalsel,mention,0,twitter
sailingers,@indihome,mention,0,twitter
nayf0n,@sft07yujin,mention,0,twitter
cinnamqnsugar,@indihome,mention,0,twitter
ohyulsie,@indihome,mention,0,twitter
suwartosuryanto,@indihome,mention,0,twitter
loveidovie,@indihome,mention,0,twitter
ciecie_ambis,@indihome,mention,0,twitter
btcfrogger,@bbotakkkk,mention,0,twitter
btcfrogger,@starlink,mention,0,twitter
btcfrogger,@indihome,mention,0,twitter
bbotakkkk,@starlink,mention,0,twitter
bbotakkkk,@indihome,mention,0,twitter
indihome,@upilhoshi,mention,0,twitter
fioniq,@indihome,mention,0,twitter
fioniq,@indihomecare,mention,0,twitter
mahartanjung,@indihomecare,mention,0,twitter
y4hisokaa,@indihomecare,mention,0,twitter
indihome,@nobleguine34791,mention,0,twitter
indihome,@newcod622938,mention,0,twitter
indihome,@finch_grea10750,mention,0,twitter
indihome,@depinkorchids,mention,0,twitter
indihome,@catchosh,mention,0,twitter
indihome,@targaryenllll,mention,0,twitter
indihome,@d8nhill,mention,0,twitter
indihome,@nayydumpie,mention,0,twitter
kemenhamri,@cryptowaveid,mention,0,twitter
kemenhamri,@indihomecare,mention,0,twitter
viaaespa,@indihome,mention,0,twitter
rahvvana,@humansnocontext,mention,0,twitter
rahvvana,@urpersonalhades,mention,0,twitter
nanovi1101,@indihome,mention,0,twitter
jaeyongusername,@indihome,mention,0,twitter
5758majumapan_,@indihome,mention,0,twitter
mchrisandys,@indihome,mention,0,twitter
raafairyy,@indihome,mention,0,twitter
indihome,@pardo_aganis,mention,0,twitter
indihome,@soullyyou,mention,0,twitter
indihome,@shazhimiii,mention,0,twitter
fhagile,@indihome,mention,0,twitter
indihome,@pmite19053,mention,0,twitter
asyi_i,@laklakangajah,mention,0,twitter
asyi_i,@indopopbase,mention,0,twitter
soullyyou,@indihomecare,mention,0,twitter
telkomsel,@rizky_firha,mention,0,twitter
telkomsel,@indihomecare,mention,0,twitter
pardo_aganis,@indihome,mention,0,twitter
pardo_aganis,@indihomecare,mention,0,twitter
rizky_firha,@telkomsel,mention,0,twitter
rizky_firha,@indihome,mention,0,twitter
rizky_firha,@indihomecare,mention,0,twitter
creamybruleee,@txxcaiok,mention,0,twitter
creamybruleee,@indihome,mention,0,twitter
creamybruleee,@indihomecare,mention,0,twitter
indihome,@pigeontoug74063,mention,0,twitter
indihome,@yoonclhae,mention,0,twitter
telkomsel,@nursangadah171,mention,0,twitter
telkomsel,@xxgnnjrrs,mention,0,twitter
indihome,@barsstwn,mention,0,twitter
indihome,@widjaya_markus,mention,0,twitter
martiamour,@indihome,mention,0,twitter
indihome,@97valb,mention,0,twitter
indihome,@satepadangterus,mention,0,twitter
indihome,@sailingers,mention,0,twitter
mr_pangestu07,@indihome,mention,0,twitter
weirdposer,@indihome,mention,0,twitter
foxiejoewi,@indihome,mention,0,twitter
__yyaya__,@indihomecare,mention,0,twitter
__yyaya__,@indihome,mention,0,twitter
chairiindani,@indihome,mention,0,twitter
kvnbhgs,@indihome,mention,0,twitter
hyumjaes,@indihome,mention,0,twitter
rengga_agitama,@indihome,mention,0,twitter
https_101angie,@indihome,mention,0,twitter
hhmmm_akusiapa,@indihome,mention,0,twitter
tanjirovanjiro,@indihome,mention,0,twitter
hrvrddd,@indihomecare,mention,0,twitter
andi_achilles,@kompascom,mention,0,twitter
andi_achilles,@indihome,mention,0,twitter
celesteglhf,@indihome,mention,0,twitter
telkomsel,@pianritonga,mention,0,twitter
indihome,@anestesian,mention,0,twitter
https_101angie,@indihomecare,mention,0,twitter
telkomsel,@christinusd,mention,0,twitter
januaru,@indihome,mention,0,twitter
gishvagran31887,@indihome,mention,0,twitter
indihome,@psiagani23,mention,0,twitter
